5.068527320851983209e-01 5.057995316029434418e-01 5.070676274944567741e-01 5.068814015051766875e-01 5.073664952668708317e-01
5.018084560912404735e-01 5.029586618810715226e-01 5.024390243902439046e-01 5.023630996105390434e-01 5.034441657080289678e-01
5.002979448732695067e-01 5.013234295533598450e-01 5.005681818181818565e-01 5.012820335130490079e-01 5.013790522653878146e-01
4.993694655007552829e-01 4.999653552472942408e-01 5.003741685144124096e-01 5.004088647419994151e-01 4.999237709803052154e-01
4.994941866104959938e-01 5.002286553678579883e-01 4.999584257206208249e-01 4.992862191792213356e-01 5.000346495544066849e-01
4.986072809412286366e-01 4.998683499397181262e-01 4.997366962305986871e-01 4.995356959709498224e-01 4.991614807833571477e-01
4.992447443910145166e-01 4.993417496985906312e-01 4.993625277161862774e-01 4.993000790009840539e-01 4.993000790009840539e-01
4.993694655007552829e-01 4.989953021715330950e-01 4.989883592017738123e-01 4.993000790009840539e-01 4.991614807833571477e-01
4.991200232812738058e-01 4.994941866104959938e-01 4.993625277161862774e-01 4.993000790009840539e-01 4.991753406051198105e-01
4.989953021715330950e-01 4.987458599520516733e-01 4.991130820399112822e-01 4.990506022092555671e-01 4.993000790009840539e-01
